Season,Nos,Name,Team,Age,Position,Appearances,Minutes,Goals,Assists,Yellows,Reds,SpG,Pass%,AerialsWon,MotM,Rating
2015,240,Ashley Young,Manchester United,34,  D(LR)M(LR),11(7),1063,1,2,5,-,0.4,77.7,0.7,-,6.6
2017,38,Ashley Young,Manchester United,34,  D(LR)M(LR),28(2),2448,2,4,7,-,0.6,79.5,0.6,4,7.12
2018,104,Ashley Young,Manchester United,34,  D(LR)M(LR),28(2),2569,2,2,8,1,0.4,77.5,0.8,-,6.87
2019,132,Ashley Young,Manchester United,34,  D(LR)M(LR),8(1),772,-,-,5,-,0.3,82,0.9,-,6.74
2014,231,Asmir Begovic,Stoke,32,  GK,35,3150,-,-,3,-,-,61.7,0.2,-,6.65
2017,247,Asmir Begovic,Bournemouth,32,  GK,38,3420,-,-,2,-,-,51.3,0.3,-,6.52
2018,273,Asmir Begovic,Bournemouth,32,  GK,24,2160,-,-,-,-,-,60.8,0.5,-,6.25
2018,51,Aymeric Laporte,Manchester City,25,  D(CL),34(1),3057,3,3,3,-,0.7,92.3,2.2,1,7.05
2014,206,Ayoze Pérez,Newcastle United,26,  AM(CLR)FW,25(11),2372,7,-,-,-,1.7,79.9,0.6,2,6.74
2015,201,Ayoze Pérez,Newcastle United,26,  AM(CLR)FW,22(12),2050,6,2,4,-,1.5,75.6,0.2,1,6.71
2017,176,Ayoze Pérez,Newcastle United,26,  AM(CLR)FW,28(8),2497,8,5,3,-,1.7,71.3,1.2,3,6.74
2018,80,Ayoze Pérez,Newcastle United,26,  AM(CLR)FW,34(3),2928,12,2,2,-,1.5,75.9,0.7,3,6.95
2019,73,Ayoze Pérez,Leicester,26,  AM(CLR)FW,8(2),650,3,1,-,-,1.3,80.2,0.5,-,6.96
2015,61,Bacary Sagna,Manchester City,36,  D(CR),27(1),2448,-,3,4,-,0.2,82.7,3.1,1,7.12
2014,245,Bafétimbi Gomis,Swansea,34,  FW,18(13),1644,7,-,-,-,2.2,79.4,1.4,1,6.62
2015,278,Bafétimbi Gomis,Swansea,34,  FW,18(15),1698,6,-,-,-,1.8,80.2,0.9,-,6.42
2015,235,Bakary Sako,Crystal Palace,31,  M(L)FW,11(9),1074,2,1,1,-,1.7,82.1,0.4,2,6.61
2015,177,Bastian Schweinsteiger,Manchester United,35,  D(C)M(C),13(5),1205,1,-,3,-,0.7,85.7,0.9,-,6.78
2017,129,Ben Chilwell,Leicester,22,  D(L)M(L),20(4),1852,-,2,1,1,0.3,73.9,2.8,1,6.82
2018,53,Ben Chilwell,Leicester,22,  D(L)M(L),36,3240,-,4,4,-,0.6,72.3,3.1,4,7.04
2019,36,Ben Chilwell,Leicester,22,  D(L)M(L),9,810,1,3,1,-,0.8,78.1,2.4,-,7.19
2016,54,Ben Davies,Tottenham,26,  D(CL)M(L),18(5),1735,1,3,1,-,0.6,79.3,2.1,-,7.12
2017,46,Ben Davies,Tottenham,26,  D(CL)M(L),26(3),2325,2,6,3,-,0.6,80.1,1.6,1,7.08
2018,169,Ben Davies,Tottenham,26,  D(CL)M(L),20(7),1839,-,-,2,-,0.5,82.8,1.7,1,6.69
2014,268,Ben Foster,West Bromwich Albion,36,  GK,28,2486,-,-,2,-,-,41.1,0.2,-,6.51
2016,202,Ben Foster,West Bromwich Albion,36,  GK,38,3420,-,-,2,-,-,40.2,0.2,1,6.65
2017,257,Ben Foster,West Bromwich Albion,36,  GK,37,3330,-,-,2,-,-,46.1,0.1,-,6.5
2018,166,Ben Foster,Watford,36,  GK,38,3420,-,-,1,-,-,44.8,0.5,1,6.69
2019,224,Ben Foster,Watford,36,  GK,11,990,-,-,-,-,0.1,41.2,0.4,1,6.36
2016,145,Ben Gibson,Middlesbrough,26,  D(CL),38,3420,1,1,4,-,0.4,84.6,1.6,-,6.82
2019,206,Ben Godfrey,Norwich,21,  D(C),11,950,-,-,1,-,0.3,91,1.2,-,6.47
2014,83,Ben Mee,Burnley,30,  D(CL),32(1),2888,2,1,10,-,0.6,66.5,2.6,-,7.09
2016,49,Ben Mee,Burnley,30,  D(CL),34,3016,1,-,5,-,0.5,73.3,3.7,2,7.14
2017,36,Ben Mee,Burnley,30,  D(CL),29,2610,-,-,5,-,0.9,76.4,4,2,7.12
2018,109,Ben Mee,Burnley,30,  D(CL),38,3420,-,2,9,-,0.6,74.9,3.9,1,6.86
2019,111,Ben Mee,Burnley,30,  D(CL),11,990,-,-,-,-,0.5,63,4.5,-,6.8
2015,110,Ben Watson,Watford,34,  M(C),31(4),2815,2,-,4,-,0.5,77.6,1.2,-,6.94
2016,258,Benik Afobe,Bournemouth,26,  AM(C)FW,14(17),1454,6,3,1,-,1.3,78.8,1.3,-,6.49
2017,289,Beram Kayal,Brighton,31,  DMC,8(11),740,-,-,2,-,0.2,78.9,0.4,-,6.26
2018,210,Bernard,Everton,27,  AM(L),25(9),2129,1,3,5,-,0.7,75.3,0.1,-,6.6
2019,166,Bernard,Everton,27,  AM(L),6(2),450,2,-,2,-,0.5,72.3,0.1,1,6.63
2018,89,Bernardo,Brighton,24,  D(LR),19(3),1751,-,1,4,-,0.4,72.7,2,-,6.9
2017,148,Bernardo Silva,Manchester City,25,  AM(CLR),15(20),1520,6,4,-,-,0.7,87,0.1,1,6.79
2018,16,Bernardo Silva,Manchester City,25,  AM(CLR),31(5),2853,7,7,3,-,1.7,86.1,0.3,4,7.26
2019,7,Bernardo Silva,Manchester City,25,  AM(CLR),7(3),639,4,2,2,-,2.3,87.8,0.5,1,7.54
2018,171,Bernd Leno,Arsenal,27,  GK,31(1),2833,-,-,-,-,-,69.2,0.2,-,6.68
