Season,Nos,Name,Team,Age,Position,Appearances,Minutes,Goals,Assists,Yellows,Reds,SpG,Pass%,AerialsWon,MotM,Rating
2014,186,Connor Wickham,Sunderland,26,  AM(L)FW,31(5),2774,5,1,8,-,2.3,65,2.8,-,6.81
2015,214,Connor Wickham,Crystal Palace,26,  AM(L)FW,15(6),1327,5,3,1,-,1.6,66.7,2.6,1,6.68
2018,249,Conor Coady,Wolverhampton Wanderers,26,  D(CR)DMC,38,3420,-,-,5,-,-,84.3,0.9,1,6.45
2019,217,Conor Coady,Wolverhampton Wanderers,26,  D(CR)DMC,11,990,-,-,2,-,-,82,1.3,-,6.41
2019,128,Conor Hourihane,Aston Villa,28,  DMC,4(3),354,1,1,2,-,1.4,84.9,0.1,-,6.75
2014,69,Costel Pantilimon,Sunderland,32,  GK,28,2520,-,-,2,-,-,47.5,0.3,4,7.12
2015,209,Craig Cathcart,Watford,30,  D(CR),34(1),3034,1,-,3,-,0.1,70.1,1.9,1,6.7
2018,182,Craig Cathcart,Watford,30,  D(CR),35(1),3099,3,-,2,-,0.4,81.5,2.4,2,6.66
2019,199,Craig Cathcart,Watford,30,  D(CR),9,740,-,-,1,-,-,83.8,2.3,-,6.5
2014,42,Craig Dawson,West Bromwich Albion,29,  D(CR),29,2591,2,-,6,-,0.6,73.4,3.8,-,7.22
2015,93,Craig Dawson,West Bromwich Albion,29,  D(CR),38,3385,4,-,3,-,1,62.4,3.1,2,7.02
2016,100,Craig Dawson,West Bromwich Albion,29,  D(CR),37,3278,4,-,10,-,0.6,63.1,3.5,2,6.94
2017,62,Craig Dawson,West Bromwich Albion,29,  D(CR),28,2509,2,-,6,-,0.6,69.5,4.2,4,7.02
2019,198,Craig Dawson,Watford,29,  D(CR),10(1),933,-,-,3,-,0.7,81.6,2.5,-,6.52
2014,124,Craig Gardner,West Bromwich Albion,32,  D(R)M(CLR),30(5),2684,3,4,10,-,1.6,75.3,1.4,-,6.99
2015,260,Craig Gardner,West Bromwich Albion,32,  D(R)M(CLR),20(14),2037,3,3,5,-,1.4,64.2,0.9,1,6.54
2016,217,Cristhian Stuani,Middlesbrough,33,  AM(CLR)FW,16(7),1362,4,-,4,-,0.9,68,2,1,6.61
2017,72,Cuco Martina,Everton,30,  D(CLR),20(1),1831,-,2,1,-,0.1,77.9,1.1,-,6.98
2014,24,Curtis Davies,Hull,34,  D(C),21,1815,-,-,2,-,0.6,85.6,4.5,4,7.32
2016,114,Curtis Davies,Hull,34,  D(C),25(1),2139,-,2,4,-,0.4,82.9,2.9,2,6.91
2018,202,Cyrus Christie,Fulham,27,  D(R)M(R),19(9),1945,-,1,7,-,0.4,76.4,2,-,6.61
2017,142,Dale Stephens,Brighton,30,  M(C),36,3240,-,3,6,-,0.5,83.9,0.8,-,6.79
2018,184,Dale Stephens,Brighton,30,  M(C),29(1),2487,1,1,6,1,0.4,83.7,0.9,1,6.66
2019,108,Dale Stephens,Brighton,30,  M(C),11,978,-,-,2,-,0.9,88.1,0.3,-,6.81
2014,51,Daley Blind,Manchester United,29,  D(CL)DMCM(L),25,2172,2,2,4,-,1.1,87.7,1.3,1,7.19
2015,56,Daley Blind,Manchester United,29,  D(CL)DMCM(L),35,3117,1,1,2,-,0.1,83.7,1,3,7.14
2016,35,Daley Blind,Manchester United,29,  D(CL)DMCM(L),20(3),1830,1,2,2,-,0.4,85.9,1.1,-,7.23
2014,160,Damien Delaney,Crystal Palace,38,  D(C),28(1),2435,-,-,6,1,0.4,67.1,2.8,-,6.89
2015,128,Damien Delaney,Crystal Palace,38,  D(C),32,2880,2,3,2,-,0.7,72.7,3,1,6.89
2016,236,Damien Delaney,Crystal Palace,38,  D(C),21(9),2009,-,2,8,-,0.2,71.5,1.9,-,6.55
2019,66,Dan Burn,Brighton,27,  D(CL),11,990,-,-,-,-,0.5,79.1,3.4,1,6.97
2015,181,Dan Gosling,Bournemouth,29,  M(C),28(6),2445,3,1,6,-,1.2,83.6,1.1,-,6.77
2016,234,Dan Gosling,Bournemouth,29,  M(C),14(13),1358,2,-,6,-,0.6,84.5,0.5,-,6.56
2017,229,Dan Gosling,Bournemouth,29,  M(C),21(7),1944,2,1,8,-,0.8,77.2,1.9,-,6.58
2018,167,Dan Gosling,Bournemouth,29,  M(C),19(6),1738,2,1,8,-,0.8,79.6,1.4,-,6.69
2019,159,Dani Ceballos,Arsenal,23,  M(CL),7(4),664,-,2,-,-,0.8,88.1,0.3,1,6.65
2016,251,Daniel Amartey,Leicester,24,  D(R)DMC,17(7),1666,1,1,3,-,0.6,80.9,1.4,-,6.51
2014,218,Daniel Drinkwater,Leicester,29,  DMC,16(7),1488,-,-,1,-,0.7,79.4,0.7,-,6.7
2015,19,Daniel Drinkwater,Leicester,29,  DMC,35,3039,2,7,3,1,1.2,77.6,0.8,1,7.3
2016,159,Daniel Drinkwater,Leicester,29,  DMC,27(2),2467,1,1,6,-,1.1,77.4,1.3,-,6.78
2019,110,Daniel James,Manchester United,21,  AM(LR)FW,10(1),895,3,2,3,-,1.5,76.2,0.4,1,6.8
2016,198,Daniel Sturridge,Liverpool,30,  M(R)FW,7(13),769,3,1,1,-,2,74.4,0.2,-,6.67
2017,91,Danilo,Manchester City,28,  D(LR),13(10),1342,3,2,2,-,0.8,89.9,0.7,2,6.91
2014,165,Danny Ings,Burnley,27,  AM(C)FW,35,3035,11,4,6,-,2.8,70.9,0.9,1,6.89
2018,120,Danny Ings,Southampton,27,  AM(C)FW,23(1),1668,7,3,1,-,2.3,71.4,0.8,-,6.83
2019,147,Danny Ings,Southampton,27,  AM(C)FW,8(3),666,4,1,-,-,2.2,55,0.9,1,6.68
2014,39,Danny Rose,Tottenham,29,  D(L)M(L),27(1),2372,3,4,7,-,0.9,78.5,1.1,2,7.23
2015,26,Danny Rose,Tottenham,29,  D(L)M(L),24,2132,1,3,7,-,1.1,79.4,1,-,7.25
2018,116,Danny Rose,Tottenham,29,  D(L)M(L),20(6),1798,-,3,5,-,0.6,73.7,1,1,6.84
2019,171,Danny Rose,Tottenham,29,  D(L)M(L),9,794,-,-,5,-,0.2,81.6,1.1,-,6.61
2015,60,Danny Simpson,Leicester,32,  D(R),30,2613,-,-,3,1,0.2,71.6,2,1,7.13
2016,177,Danny Simpson,Leicester,32,  D(R),34(1),2990,-,2,12,-,0.1,69,1.5,-,6.72
2017,228,Danny Simpson,Leicester,32,  D(R),27(1),2313,-,-,4,-,0.1,74.4,1.4,-,6.58
2014,54,Danny Welbeck,Arsenal,28,  AM(CLR)FW,18(7),1667,4,3,3,-,2.3,81.9,1.5,2,7.18
2017,250,Danny Welbeck,Arsenal,28,  AM(CLR)FW,12(16),1185,5,2,1,-,1.1,79.8,0.9,2,6.52
2017,279,Danny Williams,Huddersfield,30,  M(C),11(9),1118,-,-,2,-,0.6,77.1,0.5,-,6.35
2015,238,Darren Fletcher,West Bromwich Albion,35,  M(C),38,3376,1,3,3,-,0.6,78.2,0.9,-,6.6
2016,248,Darren Fletcher,West Bromwich Albion,35,  M(C),37(1),3235,2,3,-,-,0.5,76.8,0.4,-,6.52
2017,262,Darren Fletcher,Stoke,35,  M(C),25(2),2223,1,1,-,-,0.4,78.5,0.8,-,6.48
2016,216,Darren Randolph,West Ham,32,  GK,22,1980,-,-,1,-,-,50.7,0.2,-,6.61
2014,156,Daryl Janmaat,Newcastle United,30,  D(R)M(R),37,3255,1,6,6,1,0.9,74.4,0.9,3,6.9
2015,152,Daryl Janmaat,Newcastle United,30,  D(R)M(R),32,2755,2,4,5,1,0.6,73.8,0.8,1,6.85
2016,238,Daryl Janmaat,Watford,30,  D(R)M(R),18(9),1613,2,1,2,-,1,73.8,0.8,-,6.55
2017,156,Daryl Janmaat,Watford,30,  D(R)M(R),21(2),1822,3,-,3,-,1,75.9,1.2,1,6.76
2019,154,Daryl Janmaat,Watford,30,  D(R)M(R),6(1),518,-,1,1,-,0.4,75.6,0.3,-,6.66
2018,119,David Brooks,Bournemouth,22,  AM(CR),29(1),2278,7,5,3,-,1.4,73.1,0.2,1,6.83
2014,225,David de Gea,Manchester United,28,  GK,37,3314,-,-,-,-,-,64.1,0.1,-,6.68
2015,225,David de Gea,Manchester United,28,  GK,34,3060,-,-,-,-,-,56.9,-,-,6.66
2016,232,David de Gea,Manchester United,28,  GK,35,3150,-,-,2,-,-,60,-,-,6.57
2017,124,David de Gea,Manchester United,28,  GK,37,3330,-,-,-,-,-,57.5,0.1,2,6.83
2018,232,David de Gea,Manchester United,28,  GK,38,3420,-,-,1,-,-,60,0.1,1,6.52
2019,172,David de Gea,Manchester United,28,  GK,11,990,-,-,-,-,-,68.5,0.2,-,6.61
2014,212,David Jones,Burnley,35,  M(C),36,3210,-,-,-,-,0.6,83.6,0.7,-,6.72
2014,294,David Junior Hoilett,Queens Park Rangers,29,  M(CLR)FW,9(13),880,-,-,2,-,1.1,79.4,0.3,-,6.24
2018,246,David Junior Hoilett,Cardiff,29,  M(CLR)FW,23(9),2143,3,1,4,-,1.3,71.6,0.6,-,6.46
2016,44,David Luiz,Chelsea,32,  D(C)DMC,33,2956,1,-,6,-,0.9,83.6,1.8,1,7.16
2018,44,David Luiz,Chelsea,32,  D(C)DMC,36,3239,3,2,3,-,0.9,88,2.3,-,7.08
2019,135,David Luiz,Arsenal,32,  D(C)DMC,10,900,2,-,2,-,0.7,83.9,1.2,1,6.72
2019,122,David McGoldrick,Sheffield United,31,  AM(CLR)FW,7(1),557,-,-,1,-,1.9,78.1,2.4,-,6.77
2014,244,David Meyler,Hull,30,  D(R)DMCM(LR),19(9),1730,1,1,7,1,0.5,81,1.5,1,6.62
2016,272,David Meyler,Hull,30,  D(R)DMCM(LR),9(11),954,1,-,2,-,0.4,80.9,0.5,-,6.39
2014,256,David Nugent,Leicester,34,  M(C)FW,16(13),1705,5,2,3,-,1.4,74.2,2,-,6.58
2014,95,David Ospina,Arsenal,31,  GK,18,1620,-,-,-,-,-,57.5,0.1,-,7.06
2014,8,David Silva,Manchester City,33,  M(CLR),32,2661,12,7,8,-,2.1,85.7,0.5,3,7.53
2015,22,David Silva,Manchester City,33,  M(CLR),22(2),1802,2,11,1,-,1.2,86.4,0.4,2,7.28
2016,26,David Silva,Manchester City,33,  M(CLR),31(3),2768,4,7,6,-,1.4,87.2,0.5,1,7.28
2017,6,David Silva,Manchester City,33,  M(CLR),28(1),2437,9,11,5,-,1.9,88.9,0.6,4,7.58
2018,15,David Silva,Manchester City,33,  M(CLR),28(5),2412,6,8,3,-,1.5,87.8,0.6,1,7.26
2019,23,David Silva,Manchester City,33,  M(CLR),9(2),701,3,4,-,-,1.8,87,0.1,1,7.29
2017,219,Davide Zappacosta,Chelsea,27,  D(R)M(R),12(10),1096,1,1,-,-,1.1,84.9,0.6,-,6.61
2017,78,Davinson Sánchez,Tottenham,23,  D(C),29(2),2535,-,-,1,1,0.3,89.4,2.4,-,6.94
2018,121,Davinson Sánchez,Tottenham,23,  D(C),22(1),1943,1,1,2,-,0.6,89.9,2.9,-,6.83
2019,180,Davinson Sánchez,Tottenham,23,  D(C),7,586,-,-,2,-,0.3,88.4,1.9,-,6.58
2017,167,Davy Pröpper,Brighton,28,  M(C),35,3120,-,4,2,1,1,78.1,1.4,-,6.75
2018,190,Davy Pröpper,Brighton,28,  M(C),30,2551,1,1,2,-,0.5,80,1.2,1,6.65
2019,60,Davy Pröpper,Brighton,28,  M(C),9,810,-,1,1,-,1.2,82.8,0.7,-,7
2019,139,Dean Henderson,Sheffield United,22,  GK,11,990,-,-,2,-,0.1,32.6,0.6,-,6.69
2014,205,Dean Marney,Burnley,35,  M(C),20,1688,-,-,6,-,0.5,83.8,0.6,-,6.74
2016,233,Dean Marney,Burnley,35,  M(C),21,1770,1,2,7,-,0.6,80.3,0.6,-,6.57
2015,153,DeAndre Yedlin,Sunderland,26,  D(R)M(R),21(2),1813,-,1,2,-,0.2,67.6,1,-,6.84
2017,165,DeAndre Yedlin,Newcastle United,26,  D(R)M(R),31(3),2842,-,2,5,-,0.2,75,1.4,-,6.75
2018,238,DeAndre Yedlin,Newcastle United,26,  D(R)M(R),28(1),2475,1,2,6,1,0.4,71.6,1,-,6.5
2017,260,Declan Rice,West Ham,20,  D(C)DMC,15(11),1424,-,-,1,-,0.2,78.6,1.2,-,6.49
2018,83,Declan Rice,West Ham,20,  D(C)DMC,34,3005,2,-,4,-,0.6,86.4,1.6,2,6.93
2019,83,Declan Rice,West Ham,20,  D(C)DMC,11,990,-,-,2,-,0.6,89.7,1.5,1,6.89
2014,128,Dejan Lovren,Liverpool,30,  D(C),22(4),2036,-,-,4,-,0.7,85.2,3.7,1,6.98
2015,106,Dejan Lovren,Liverpool,30,  D(C),22(2),1898,-,-,2,-,0.9,84.6,3.3,1,6.97
2016,52,Dejan Lovren,Liverpool,30,  D(C),29,2555,2,1,6,-,0.5,86.6,3.6,-,7.13
2017,68,Dejan Lovren,Liverpool,30,  D(C),24(5),2125,2,1,4,-,0.5,88.5,3.6,2,6.99
2015,16,Dele Alli,Tottenham,23,  M(CL),28(5),2482,10,9,7,-,2.2,75.9,1.1,2,7.35
2016,20,Dele Alli,Tottenham,23,  M(CL),35(2),3045,18,7,4,-,2.5,80.7,0.4,2,7.35
2017,44,Dele Alli,Tottenham,23,  M(CL),34(2),2972,9,10,7,-,1.9,77.2,0.8,1,7.09
2018,81,Dele Alli,Tottenham,23,  M(CL),22(3),1835,5,3,4,-,1.6,80.3,0.8,1,6.95
2016,263,Demarai Gray,Leicester,23,  AM(CLR)FW,9(21),1039,1,3,2,-,0.9,74.8,0.2,-,6.45
2017,269,Demarai Gray,Leicester,23,  AM(CLR)FW,17(18),1693,3,1,2,-,1,79.4,0.1,1,6.45
2018,235,Demarai Gray,Leicester,23,  AM(CLR)FW,23(11),1996,4,1,2,-,1.4,77.6,0.3,-,6.51
2019,222,Demarai Gray,Leicester,23,  AM(CLR)FW,1(6),163,-,1,1,-,0.4,88.9,-,-,6.38
2018,199,Denis Odoi,Fulham,31,  D(CLR),29(2),2594,-,1,4,-,0.3,82.1,1.8,-,6.62
2019,229,Dennis Praet,Leicester,25,  AM(C),3(4),274,-,-,-,-,0.4,84.7,-,-,6.33
2014,74,Diafra Sakho,West Ham,29,  FW,20(3),1761,10,2,2,-,2.9,55.7,3.7,2,7.11
2015,135,Diafra Sakho,West Ham,29,  FW,18(3),1527,5,1,3,-,2.3,62.2,2.6,-,6.88
2014,282,Didier Drogba,Chelsea,41,  FW,8(20),856,4,1,5,-,1.1,60.3,1.6,-,6.43
2016,206,Didier Ndong,Sunderland,25,  DMC,27(4),2519,1,-,5,-,0.5,83.2,0.7,-,6.64
2014,14,Diego Costa,Chelsea,31,  FW,24(2),2085,20,3,8,-,2.9,77.4,1.3,5,7.43
2015,67,Diego Costa,Chelsea,31,  FW,27(1),2379,12,6,8,-,2.4,77.8,1.5,2,7.08
2016,15,Diego Costa,Chelsea,31,  FW,35,3090,20,7,10,-,3.2,75.2,1.3,5,7.41
2019,15,Diego Rico,Bournemouth,26,  D(L)M(L),8,720,-,2,2,-,0.8,67.5,1.1,1,7.41
2015,162,Dieudonne Mbokani Bezua,Norwich,33,  FW,15(14),1589,7,1,-,-,1.3,68.8,4.1,1,6.81
2015,2,Dimitri Payet,West Ham,32,  M(CLR),29(1),2573,9,12,3,-,2.3,80.2,0.1,5,7.74
2018,92,Diogo Jota,Wolverhampton Wanderers,22,  AM(CL)FW,29(4),2372,9,5,11,-,1.8,75.6,0.8,3,6.89
2019,142,Diogo Jota,Wolverhampton Wanderers,22,  AM(CL)FW,7(2),642,1,-,1,-,2.1,78.1,0.3,-,6.69
2016,252,Divock Origi,Liverpool,24,  AM(LR)FW,14(20),1460,7,3,-,-,1.1,76.2,0.9,-,6.5
2019,210,Divock Origi,Liverpool,24,  AM(LR)FW,3(6),251,1,-,-,-,0.6,69.9,0.8,-,6.45
2017,185,Dominic Calvert-Lewin,Everton,22,  AM(L)FW,18(14),1876,4,6,4,-,1.3,60.9,4.2,2,6.72
2018,201,Dominic Calvert-Lewin,Everton,22,  AM(L)FW,19(16),1776,6,2,3,-,1.5,61.7,3.2,-,6.61
2019,193,Dominic Calvert-Lewin,Everton,22,  AM(L)FW,6(3),505,3,-,1,-,1.2,54.4,4.1,-,6.52
2017,273,Dominic Solanke,Liverpool,22,  FW,5(16),583,1,1,-,-,1,75.1,1,-,6.4
2019,227,Dominic Solanke,Bournemouth,22,  FW,5(5),460,-,-,-,-,1.3,68.4,2.6,-,6.34
2019,186,Douglas Luiz,Aston Villa,21,  M(C),5(4),457,2,-,1,-,0.9,85.3,0.6,-,6.57
2015,284,Duncan Watmore,Sunderland,25,  AM(LR),7(16),911,3,1,-,-,0.6,74.4,0.2,-,6.39
2014,127,Dusan Tadic,Southampton,30,  AM(CLR)FW,24(7),2064,4,7,2,-,1.7,78.2,0.3,3,6.98
2015,73,Dusan Tadic,Southampton,30,  AM(CLR)FW,27(7),2293,7,12,2,-,1.7,73.4,0.3,1,7.07
2016,176,Dusan Tadic,Southampton,30,  AM(CLR)FW,30(3),2427,3,5,4,-,1.9,79.3,0.1,-,6.72
2017,150,Dusan Tadic,Southampton,30,  AM(CLR)FW,34(2),2813,6,3,4,-,1.1,74.8,0.2,2,6.78
2014,271,Dwight Gayle,Crystal Palace,29,  AM(L)FW,11(14),1091,5,1,1,-,1.2,69.4,1.2,1,6.49
2017,259,Dwight Gayle,Newcastle United,29,  AM(L)FW,23(12),1961,6,3,3,-,1.6,72.3,1.9,2,6.49
2018,55,Dwight McNeil,Burnley,19,  M(L),19(2),1599,3,5,2,-,1.3,75.7,1,2,7.03
2019,62,Dwight McNeil,Burnley,19,  M(L),11,938,1,3,-,-,1.3,79.7,0.8,-,6.99
2014,1,Eden Hazard,Chelsea,28,  M(CLR)FW,38,3379,14,9,2,-,2.1,86.8,0.4,10,7.96
2015,63,Eden Hazard,Chelsea,28,  M(CLR)FW,25(6),2192,4,3,2,-,1.2,86,0.4,5,7.11
2016,1,Eden Hazard,Chelsea,28,  M(CLR)FW,36,3007,16,5,3,-,2.1,84.2,0.6,13,7.81
2017,4,Eden Hazard,Chelsea,28,  M(CLR)FW,28(6),2433,12,4,2,-,2.1,83.6,0.2,9,7.69
2018,1,Eden Hazard,Chelsea,28,  M(CLR)FW,32(5),2926,16,15,2,-,2.5,84.3,0.5,14,7.81
2017,194,Ederson,Manchester City,26,  GK,37,3197,-,-,1,-,-,85.3,0.3,1,6.68
2018,180,Ederson,Manchester City,26,  GK,38,3420,-,1,2,-,-,82.6,0.3,-,6.66
2019,93,Ederson,Manchester City,26,  GK,11,990,-,-,3,-,-,90.1,0.5,-,6.87
2016,283,Edimilson Fernandes,West Ham,23,  M(CR),8(20),988,-,-,4,-,0.7,86.5,0.1,-,6.26
2014,241,Edin Dzeko,Manchester City,33,  FW,11(11),932,4,2,1,-,2,76.8,1.8,1,6.63
2014,246,Eduardo Vargas,Queens Park Rangers,29,  AM(CLR)FW,16(5),1386,3,2,1,-,2,76.1,0.9,-,6.62
2016,200,Eldin Jakupovic,Hull,35,  GK,22,1980,-,-,-,-,-,46.4,0.3,2,6.66
2014,94,Eliaquim Mangala,Manchester City,28,  D(C),24(1),2189,-,2,3,1,0.6,88.6,2.2,1,7.07
2015,124,Eliaquim Mangala,Manchester City,28,  D(C),23,2011,-,-,8,-,0.3,87.4,1.8,-,6.9
2017,266,Elias Kachunga,Huddersfield,27,  AM(CLR)FW,17(2),1338,1,1,1,-,0.6,66.4,0.9,-,6.46
2018,278,Elias Kachunga,Huddersfield,27,  AM(CLR)FW,13(7),1182,-,-,2,-,0.7,71.3,1.2,-,6.14
2019,28,Emiliano Buendía,Norwich,22,  M(R),11,983,-,4,1,-,1.2,81.5,0.5,1,7.23
2014,296,Emmanuel Rivière,Newcastle United,29,  FW,15(8),1215,1,1,-,-,1.4,78.2,1.3,-,6.21
2014,100,Emre Can,Liverpool,25,  D(CLR)DMC,23(4),2067,1,-,2,1,0.6,83.2,1.6,2,7.05
2015,79,Emre Can,Liverpool,25,  D(CLR)DMC,28(2),2493,1,-,9,-,1,81.3,1.5,1,7.05
2016,67,Emre Can,Liverpool,25,  D(CLR)DMC,26(6),2368,5,2,6,-,1.4,81.6,2.1,3,7.05
2017,19,Emre Can,Liverpool,25,  D(CLR)DMC,24(2),2094,3,4,8,-,1,85.5,1.8,2,7.28
2019,55,Enda Stevens,Sheffield United,29,  D(CL)M(L),11,990,-,2,1,-,0.6,78.4,0.9,-,7.04
2014,221,Enner Valencia,West Ham,30,  AM(LR)FW,25(7),2107,4,3,2,-,2.3,76.6,1.3,1,6.7
2015,189,Enner Valencia,West Ham,30,  AM(LR)FW,10(9),1010,4,2,1,-,1.8,75.6,1.3,-,6.75
2016,242,Enner Valencia,Everton,30,  AM(LR)FW,5(16),708,3,1,1,-,1.1,79.3,0.8,-,6.53
2016,33,Eric Bailly,Manchester United,25,  D(CR),24(1),2060,-,-,4,-,0.2,85.5,1.5,-,7.23
2014,145,Eric Dier,Tottenham,25,  D(CR)DMC,25(3),2291,2,2,4,-,0.4,79.1,2.4,2,6.93
2015,76,Eric Dier,Tottenham,25,  D(CR)DMC,37,3268,3,2,10,-,0.8,83.3,2.4,2,7.06
2016,105,Eric Dier,Tottenham,25,  D(CR)DMC,34(2),3045,2,-,6,-,0.6,86.7,2,1,6.93
2017,75,Eric Dier,Tottenham,25,  D(CR)DMC,32(2),2827,-,2,4,-,0.9,86.3,2.4,-,6.96
2018,148,Eric Dier,Tottenham,25,  D(CR)DMC,18(2),1510,3,-,4,-,0.5,84.9,1.8,-,6.74
2017,84,Eric Maxim Choupo-Moting,Stoke,30,  M(CLR)FW,26(4),2248,5,5,3,-,2,73,2,3,6.93
2018,266,Erik Durm,Huddersfield,27,  D(LR)M(LR),21(7),2054,-,1,-,-,0.4,69,0.8,-,6.33
2014,93,Erik Lamela,Tottenham,27,  AM(CLR),25(8),2302,2,7,6,-,1.2,82.8,0.2,4,7.07
2015,52,Erik Lamela,Tottenham,27,  AM(CLR),28(6),2385,5,9,9,-,1.7,78.6,0.4,2,7.15
2017,248,Erik Lamela,Tottenham,27,  AM(CLR),7(18),832,2,2,4,-,0.8,82.7,0.2,-,6.52
2019,85,Erik Lamela,Tottenham,27,  AM(CLR),7(2),607,2,1,2,-,1.3,84.1,0.3,-,6.88
2014,115,Erik Pieters,Stoke,31,  D(L)M(L),29(2),2564,-,2,8,-,0.3,80.7,1.9,2,7.02
2015,101,Erik Pieters,Stoke,31,  D(L)M(L),35,3098,-,1,10,-,0.1,77.7,1.4,2,6.98
2016,123,Erik Pieters,Stoke,31,  D(L)M(L),35(1),3151,-,1,4,-,0.3,75.8,1.5,-,6.88
2017,184,Erik Pieters,Stoke,31,  D(L)M(L),30(1),2720,-,1,5,-,0.1,71.7,1.7,1,6.73
2019,105,Erik Pieters,Burnley,31,  D(L)M(L),11,911,-,3,1,-,0.5,67.3,1.6,-,6.83
2014,131,Esteban Cambiasso,Leicester,39,  D(C)M(C),27(4),2423,5,1,1,-,0.9,73.6,1.2,1,6.97
2015,95,Etienne Capoue,Watford,31,  D(C)M(CL),33,2822,-,1,7,-,1.1,79.2,1.1,1,7.01
2016,134,Etienne Capoue,Watford,31,  D(C)M(CL),37,3213,7,1,5,-,1.4,82.9,0.9,2,6.85
2017,174,Etienne Capoue,Watford,31,  D(C)M(CL),18(5),1542,1,-,3,-,1,82.4,1.8,-,6.74
2018,30,Etienne Capoue,Watford,31,  D(C)M(CL),33,2947,1,3,14,1,0.5,84.4,2,2,7.13
2017,274,Ezequiel Schelotto,Brighton,30,  D(R)M(LR),15(5),1316,-,-,3,-,0.3,75.6,1.4,-,6.39
2018,63,Fabián Balbuena,West Ham,28,  D(C),23,2014,1,-,2,-,0.8,79.4,3,1,6.98
2014,86,Fabian Delph,Aston Villa,29,  D(L)M(CL),27(1),2434,-,3,1,1,1.5,85.2,0.7,1,7.08
2017,31,Fabian Delph,Manchester City,29,  D(L)M(CL),21(1),1746,1,2,2,-,0.5,93,1,1,7.16
2019,182,Fabian Delph,Everton,29,  D(L)M(CL),6(1),558,-,-,2,-,0.1,87,1,-,6.58
2018,13,Fabian Schär,Newcastle United,27,  D(C),22(2),2004,4,1,12,-,1,68.1,2.7,6,7.3
2019,67,Fabian Schär,Newcastle United,27,  D(C),9,795,1,-,2,-,1.2,69.9,1.4,1,6.97
2018,77,Fabinho,Liverpool,26,  D(R)DMC,21(7),2013,1,2,6,-,0.6,85.3,2,-,6.95
2019,56,Fabinho,Liverpool,26,  D(R)DMC,9(1),826,-,1,4,-,0.4,86.8,1.4,-,7.02
2016,143,Fabio,Middlesbrough,29,  D(LR)M(R),21(3),1849,-,-,8,-,0.2,71,1.8,-,6.83
2015,207,Fabio Borini,Sunderland,28,  M(LR)FW,22(4),1899,5,2,6,-,1.8,71.6,1,-,6.7
2016,243,Fabio Borini,Sunderland,28,  M(LR)FW,19(5),1741,2,-,5,-,1.4,74.2,1.1,-,6.53
2014,187,Fabricio Coloccini,Newcastle United,37,  D(C),32,2837,1,-,3,1,0.3,85,1.8,-,6.81
2015,213,Fabricio Coloccini,Newcastle United,37,  D(C),26,2294,1,-,2,1,0.4,83.7,1.2,1,6.69
2014,18,Federico Fazio,Tottenham,32,  D(C),20,1777,-,-,2,1,0.6,80.9,4.8,2,7.39
2014,73,Federico Fernández,Swansea,30,  D(C),27(1),2475,-,-,-,-,0.5,84.6,2.4,3,7.11
2015,100,Federico Fernández,Swansea,30,  D(C),32,2880,1,1,3,-,0.5,84.8,2.7,1,6.98
2016,131,Federico Fernández,Swansea,30,  D(C),27,2430,-,2,7,-,0.6,81.7,2.6,-,6.85
2017,160,Federico Fernández,Swansea,30,  D(C),30,2677,1,1,5,-,0.3,82.3,2.4,1,6.76
2018,18,Felipe Anderson,West Ham,26,  M(CLR)FW,36,3054,9,4,3,-,1.6,76,0.3,6,7.23
2019,18,Felipe Anderson,West Ham,26,  M(CLR)FW,10,753,-,3,1,-,1.7,78.7,0.3,-,7.37
2014,49,Fernandinho,Manchester City,34,  D(CR)DMC,25(8),2273,3,3,7,-,0.7,88.5,1.3,1,7.19
2015,45,Fernandinho,Manchester City,34,  D(CR)DMC,31(2),2732,2,2,8,-,0.9,87.4,1.3,2,7.17
2016,43,Fernandinho,Manchester City,34,  D(CR)DMC,31(1),2755,2,1,4,2,1.1,86.6,1.6,1,7.16
2017,10,Fernandinho,Manchester City,34,  D(CR)DMC,33(1),2885,5,3,7,-,1.4,90.1,2.8,1,7.44
2018,12,Fernandinho,Manchester City,34,  D(CR)DMC,27(2),2382,1,3,5,-,1,87.5,2.6,2,7.31
2019,82,Fernandinho,Manchester City,34,  D(CR)DMC,6(1),590,-,-,1,1,0.6,90,2.6,-,6.92
2014,164,Fernando,Manchester City,32,  DMC,22(3),1881,2,2,6,-,0.4,91.1,1.6,-,6.89
2015,109,Fernando,Manchester City,32,  DMC,17(7),1713,2,-,4,-,0.6,89,1.6,-,6.95
2016,89,Fernando Llorente,Swansea,34,  FW,28(5),2454,15,1,2,-,1.6,66.4,4.7,4,6.98
2018,242,Fernando Llorente,Tottenham,34,  FW,6(14),685,1,4,2,-,1.2,66.4,2.7,-,6.49
2019,52,Fikayo Tomori,Chelsea,21,  D(CR),8,720,1,-,2,-,0.4,87.5,1.9,-,7.05
2017,256,Florent Hadergjonaj,Huddersfield,25,  D(R)M(R),19(4),1673,-,1,3,-,0.3,66.8,0.7,-,6.5
2018,258,Florent Hadergjonaj,Huddersfield,25,  D(R)M(R),19(5),1841,-,-,1,-,0.3,75.2,1,-,6.4
2017,52,Florian Lejeune,Newcastle United,28,  D(C),24,2104,-,2,3,-,0.5,76.8,3.5,1,7.05
