Season,Number,Player,Team,Apps,Min,Goals,Assists,xG,xGdiff,xA,xAdiff,xG90,xA90
2014,338,Boaz Myhill,West Bromwich Albion,11,932,0,0,0,,0,,0,0
2014,119,Bobby Zamora,Queens Park Rangers,31,1779,3,4,2.99,-0.01,6.01,2.01,0.15,0.3
2014,87,Bojan,Stoke,16,1236,4,1,2.6,-1.4,1.7,0.7,0.19,0.12
2014,301,Brad Guzan,Aston Villa,34,3060,0,0,0,,0,,0,0
2014,497,Brad Jones,Liverpool,3,195,0,0,0,,0,,0,0
2014,490,Brandon Comley,Queens Park Rangers,1,9,0,0,0.01,0.01,0,,0.14,0
2014,80,Branislav Ivanovic,Chelsea,38,3420,4,5,4.37,0.37,5.32,0.32,0.12,0.14
2014,155,Brede Hangeland,Crystal Palace,14,1175,2,1,0.99,-1.01,0.55,-0.45,0.08,0.04
2014,366,Brendan Galloway,Everton,2,175,0,0,0,,0.09,0.09,0,0.05
2014,90,Brown Ideye,West Bromwich Albion,24,1286,4,2,3.97,-0.03,1.23,-0.77,0.28,0.09
2014,280,Bryan Oviedo,Everton,6,306,0,0,0.06,0.06,0.54,0.54,0.02,0.16
2014,356,Callum McManaman,West Bromwich Albion,8,355,0,1,0.27,0.27,0.69,-0.31,0.07,0.17
2014,171,Calum Chambers,Arsenal,23,1574,1,1,0.81,-0.19,0.88,-0.12,0.05,0.05
2014,377,Carl Jenkinson,West Ham,32,2660,0,2,1.11,1.11,2.13,0.13,0.04,0.07
2014,304,Carles Gil,Aston Villa,5,361,0,1,0.09,0.09,0.89,-0.11,0.02,0.22
2014,188,Carlos Sánchez,Aston Villa,28,1987,1,0,0.37,-0.63,0.7,0.7,0.02,0.03
2014,165,Carlton Cole,West Ham,23,894,2,0,1.73,-0.27,0.66,0.66,0.17,0.07
2014,308,César Azpilicueta,Chelsea,29,2483,0,3,0.25,0.25,1.31,-1.69,0.01,0.05
2014,103,Cesc Fàbregas,Chelsea,34,2895,3,18,3.25,0.25,10.1,5-7.85,0.1,0.32
2014,405,Charles N'Zogbia,Aston Villa,27,1455,0,2,1.06,1.06,1.48,-0.52,0.07,0.09
2014,37,Charlie Adam,Stoke,29,1482,7,1,3.41,-3.59,2.65,1.65,0.21,0.16
2014,4,Charlie Austin,Queens Park Rangers,35,3078,18,5,17.88,-0.12,2.55,-2.45,0.52,0.07
2014,345,Cheick Tioté,Newcastle United,11,899,0,2,0.16,0.16,0.54,-1.46,0.02,0.05
2014,74,Cheikhou Kouyaté,West Ham,31,2670,4,2,3.06,-0.94,1.19,-0.81,0.1,0.04
2014,246,Chicharito,Manchester United,1,49,0,0,0,,0.02,0.02,0,0.03
2014,454,Chris Baird,West Bromwich Albion,19,802,0,0,0.13,0.13,0.27,0.27,0.01,0.03
2014,152,Chris Brunt,West Bromwich Albion,34,2901,2,10,2.06,0.06,5.36,-4.64,0.06,0.17
2014,78,Chris Smalling,Manchester United,25,1881,4,0,1.86,-2.14,0.39,0.39,0.09,0.02
2014,244,Chris Wood,Leicester,7,91,1,0,0.72,-0.28,0,,0.71,0
2014,445,Christian Atsu,Everton,5,108,0,1,0.23,0.23,1.36,0.36,0.19,1.14
2014,9,Christian Benteke,Aston Villa,29,2380,13,2,8.46,-4.54,2.92,0.92,0.32,0.11
2014,20,Christian Eriksen,Tottenham,38,3160,10,2,7.39,-2.61,6.09,4.09,0.21,0.17
2014,441,Chuba Akpom,Arsenal,3,23,0,0,0.51,0.51,0,,2.01,0
2014,212,Ciaran Clark,Aston Villa,25,2000,1,2,2.34,1.34,0.88,-1.12,0.11,0.04
2014,337,Claudio Yacob,West Bromwich Albion,20,1385,0,0,0.25,0.25,0.1,0.1,0.02,0.01
2014,237,Clint Hill,Queens Park Rangers,19,1411,1,0,0.38,-0.62,0.74,0.74,0.02,0.05
2014,496,Cole Kpekawa,Queens Park Rangers,1,4,0,0,0,,0,,0,0
2014,56,Connor Wickham,Sunderland,36,2782,5,1,7.66,2.66,1.77,0.77,0.25,0.06
2014,276,Costel Pantilimon,Sunderland,28,2520,0,0,0,,0,,0,0
