Season,Number,Player,Team,Apps,Min,Goals,Assists,xG,xGdiff,xA,xAdiff,xG90,xA90
2015,301,David de Gea,Manchester United,34,3060,0,0,0,,0,,0,0
2015,285,David Ospina,Arsenal,4,360,0,0,0,,0,,0,0
2015,142,David Silva,Manchester City,24,1818,2,11,2.6,0.6,4.73,-6.27,0.13,0.23
2015,378,DeAndre Yedlin,Sunderland,23,1810,0,1,0.21,0.21,1.13,0.13,0.01,0.06
2015,406,Declan Rudd,Norwich,11,990,0,0,0,,0,,0,0
2015,328,Dejan Lovren,Liverpool,24,1901,0,0,1.13,1.13,0.28,0.28,0.05,0.01
2015,20,Dele Alli,Tottenham,33,2490,10,9,8.32,-1.68,6.8,-2.2,0.3,0.25
2015,392,Demarai Gray,Leicester,12,163,0,1,0.54,0.54,1.24,0.24,0.3,0.69
2015,65,Diafra Sakho,West Ham,21,1539,5,1,7.36,2.36,1.9,0.9,0.43,0.11
2015,12,Diego Costa,Chelsea,28,2386,12,6,12.08,0.08,2.89,-3.11,0.46,0.11
2015,37,Dieumerci Mbokani,Norwich,29,1568,7,1,6.59,-0.41,1.54,0.54,0.38,0.09
2015,22,Dimitri Payet,West Ham,30,2576,9,12,5.75,-3.25,11.67,-0.33,0.2,0.41
2015,437,Dionatan Teixeira,Stoke,1,42,0,0,0,,0,,0,0
2015,52,Divock Origi,Liverpool,16,660,5,1,3.35,-1.65,0.5,-0.5,0.46,0.07
2015,538,Donald Love,Manchester United,1,54,0,0,0,,0,,0,0
2015,119,Duncan Watmore,Sunderland,23,880,3,1,1.47,-1.53,0.95,-0.05,0.15,0.1
2015,38,Dusan Tadic,Southampton,34,2318,7,12,6.42,-0.58,8.64,-3.36,0.25,0.34
2015,107,Dwight Gayle,Crystal Palace,16,755,3,0,3.89,0.89,0.71,0.71,0.46,0.09
2015,86,Eden Hazard,Chelsea,31,2183,4,3,2.58,-1.42,4.18,1.18,0.11,0.17
2015,496,Eder,Swansea,13,253,0,0,0.22,0.22,0.13,0.13,0.08,0.04
2015,336,Eliaquim Mangala,Manchester City,23,2017,0,0,1.6,1.6,0,,0.07,0
2015,189,Emmanuel Adebayor,Crystal Palace,12,619,1,1,1.82,0.82,0.15,-0.85,0.27,0.02
2015,297,Emmanuel Emenike,West Ham,13,499,0,0,1.46,1.46,0.34,0.34,0.26,0.06
2015,397,Emmanuel Rivière,Newcastle United,3,64,0,0,0.24,0.24,0.08,0.08,0.34,0.12
2015,201,Emre Can,Liverpool,30,2501,1,0,1.21,0.21,3.2,3.2,0.04,0.12
2015,80,Enner Valencia,West Ham,19,1014,4,2,4.25,0.25,1.48,-0.52,0.38,0.13
2015,104,Eric Dier,Tottenham,37,3271,3,2,1.65,-1.35,1.38,-0.62,0.05,0.04
2015,64,Erik Lamela,Tottenham,34,2404,5,9,6.3,1.3,8.93,-0.07,0.24,0.33
2015,445,Erik Pieters,Stoke,35,3101,0,1,0.13,0.13,2.17,1.17,0,0.06
2015,313,Etienne Capoue,Watford,33,2834,0,1,3.07,3.07,1.45,0.45,0.1,0.05
2015,272,Eunan O'Kane,Bournemouth,16,739,0,1,0.52,0.52,0.33,-0.67,0.06,0.04
2015,172,Fabian Delph,Manchester City,17,753,2,0,0.3,-1.7,0.43,0.43,0.04,0.05
2015,69,Fabio Borini,Sunderland,26,1913,5,2,4.93,-0.07,1.74,-0.26,0.23,0.08
2015,260,Fabricio Coloccini,Newcastle United,26,2294,1,0,0.91,-0.09,0.31,0.31,0.04,0.01
2015,220,Falcao,Chelsea,10,208,1,0,0.77,-0.23,0.09,0.09,0.33,0.04
2015,221,Federico Fernández,Swansea,32,2880,1,1,1.67,0.67,0.39,-0.61,0.05,0.01
2015,140,Fernandinho,Manchester City,33,2736,2,2,1.23,-0.77,2.51,0.51,0.04,0.08
2015,141,Fernando,Manchester City,24,1703,2,0,2.9,0.9,0.33,0.33,0.15,0.02
2015,368,Fikayo Tomori,Chelsea,1,29,0,0,0,,0,,0,0
2015,478,Florian Thauvin,Newcastle United,13,412,0,0,0.31,0.31,0.61,0.61,0.07,0.13
2015,340,Fraizer Campbell,Crystal Palace,11,354,0,0,0.76,0.76,0.08,0.08,0.19,0.02
2015,284,Francis Coquelin,Arsenal,26,1652,0,0,0.16,0.16,0.35,0.35,0.01,0.02
2015,421,Fraser Forster,Southampton,18,1620,0,0,0,,0,,0,0
2015,187,Gabriel,Arsenal,21,1761,1,0,0.95,-0.05,0.04,0.04,0.05,0
2015,253,Gabriel Agbonlahor,Aston Villa,15,1051,1,2,1.24,0.24,1.48,-0.52,0.11,0.13
2015,427,Gabriel Obertan,Newcastle United,5,279,0,1,0.07,0.07,0.19,-0.81,0.02,0.06
2015,331,Gaël Clichy,Manchester City,14,1090,0,1,0.04,0.04,1.03,0.03,0,0.09
2015,324,Gareth Barry,Everton,33,2840,0,1,1.22,1.22,2.9,1.9,0.04,0.09
2015,238,Gareth McAuley,West Bromwich Albion,34,3060,1,0,0.52,-0.48,0.69,0.69,0.02,0.02
2015,151,Gary Cahill,Chelsea,23,1952,2,1,1.5,-0.5,0.2,-0.8,0.07,0.01
2015,517,Gary Hooper,Norwich,2,9,0,0,0.06,0.06,0,,0.58,0
2015,404,Gary O'Neil,Norwich,27,1738,0,0,0.85,0.85,0.6,0.6,0.04,0.03
2015,487,Gastón Ramírez,Southampton,3,25,0,1,0,,0.97,-0.03,0,3.49
2015,433,Geoff Cameron,Stoke,30,2361,0,0,0.62,0.62,0.69,0.69,0.02,0.03
2015,536,George Honeyman,Sunderland,1,37,0,0,0,,0.07,0.07,0,0.17
2015,15,Georginio Wijnaldum,Newcastle United,38,3178,11,5,7.93,-3.07,3.82,-1.18,0.22,0.11
2015,136,Gerard Deulofeu,Everton,26,1389,2,8,1.41,-0.59,5.97,-2.03,0.09,0.39
2015,170,Giannelli Imbula,Stoke,14,1260,2,0,0.76,-1.24,0.45,0.45,0.05,0.03
2015,485,Giedrius Arlauskis,Watford,1,22,0,0,0,,0,,0,0
2015,480,Glen Johnson,Stoke,25,2191,0,3,0.81,0.81,3.1,0.1,0.03,0.13
2015,117,Glenn Murray,"Bournemouth, Crystal Palace",21,789,3,0,4.02,1.02,0.52,0.52,0.46,0.06
2015,435,Glenn Whelan,Stoke,37,3189,0,1,0.22,0.22,0.93,-0.07,0.01,0.03
2015,391,Gökhan Inler,Leicester,5,195,0,0,0.04,0.04,0.03,0.03,0.02,0.01
2015,407,Graham Dorrans,Norwich,21,1289,0,1,0.56,0.56,1.16,0.16,0.04,0.08
2015,17,Graziano Pellè,Southampton,30,2167,11,6,7.35,-3.65,3.99,-2.01,0.31,0.17
2015,302,Guillermo Varela,Manchester United,4,312,0,0,0.01,0.01,0.02,0.02,0,0.01
2015,14,Gylfi Sigurdsson,Swansea,36,2921,11,3,7.71,-3.29,5.43,2.43,0.24,0.17
2015,464,Harrison Reed,Southampton,1,9,0,0,0,,0,,0,0
2015,252,Harry Arter,Bournemouth,21,1692,1,0,0.99,-0.01,1.03,1.03,0.05,0.05
2015,1,Harry Kane,Tottenham,38,3382,25,1,22.73,-2.27,3.09,2.09,0.6,0.08
2015,186,Héctor Bellerín,Arsenal,36,3240,1,5,0.71,-0.29,4.75,-0.25,0.02,0.13
2015,398,Henri Saivet,Newcastle United,4,150,0,0,0,,0.02,0.02,0,0.01
2015,308,Heurelho Gomes,Watford,38,3398,0,0,0,,0,,0,0
2015,541,Hiram Boateng,Crystal Palace,1,17,0,0,0.02,0.02,0,,0.12,0
2015,342,Hugo Lloris,Tottenham,37,3330,0,0,0,,0.02,0.02,0,0
2015,171,Ibrahim Afellay,Stoke,31,2105,2,2,2.38,0.38,2.04,0.04,0.1,0.09
2015,355,Idrissa Gueye,Aston Villa,35,3085,0,1,0.88,0.88,0.99,-0.01,0.03,0.03
2015,316,Ikechi Anya,Watford,28,1675,0,1,0.68,0.68,1.28,0.28,0.04,0.07
2015,512,Ivan Toney,Newcastle United,2,6,0,0,0,,0,,0,0
2015,402,Ivo Pinto,Norwich,10,811,0,0,0,,0.12,0.12,0,0.01
2015,430,Jack Butland,Stoke,31,2790,0,0,0,,0.03,0.03,0,0
2015,230,Jack Colback,Newcastle United,29,2409,1,1,0.88,-0.12,1.21,0.21,0.03,0.05
2015,222,Jack Cork,Swansea,35,2543,1,2,0.92,-0.08,1.96,-0.04,0.03,0.07
2015,215,Jack Grealish,Aston Villa,16,831,1,0,0.6,-0.4,0.64,0.64,0.06,0.07
2015,226,Jack Rodwell,Sunderland,22,1137,1,0,2.49,1.49,0.85,0.85,0.2,0.07
2015,531,Jack Wilshere,Arsenal,3,141,0,0,0.32,0.32,0.12,0.12,0.2,0.07
2015,364,Jake Clarke-Salter,Chelsea,1,13,0,0,0,,0,,0,0
2015,438,Jakob Haugaard,Stoke,5,402,0,0,0,,0,,0,0
2015,162,Jamaal Lascelles,Newcastle United,18,1135,2,0,0.42,-1.58,0.15,0.15,0.03,0.01
2015,413,James Chester,West Bromwich Albion,13,965,0,0,0,,0.26,0.26,0,0.02
2015,347,James Collins,West Ham,19,1437,0,0,0.87,0.87,0.19,0.19,0.05,0.01
2015,143,James McArthur,Crystal Palace,28,2206,2,2,1.06,-0.94,1.09,-0.91,0.04,0.04
2015,135,James McCarthy,Everton,29,2445,2,2,0.82,-1.18,1.39,-0.61,0.03,0.05
2015,166,James McClean,West Bromwich Albion,35,2414,2,2,2.17,0.17,3.03,1.03,0.08,0.11
2015,53,James Milner,Liverpool,28,2428,5,11,3.4,-1.6,5.39,-5.61,0.13,0.2
2015,121,James Morrison,West Bromwich Albion,18,1354,3,3,1.89,-1.11,1.12,-1.88,0.13,0.07
2015,296,James Tomkins,West Ham,25,1979,0,0,0.39,0.39,1.61,1.61,0.02,0.07
2015,169,James Ward-Prowse,Southampton,33,1505,2,4,2.07,0.07,4.69,0.69,0.12,0.28
2015,307,James Weir,Manchester United,1,1,0,0,0,,0,,0,0
2015,510,James Wilson,Manchester United,1,6,0,0,0,,0,,0,0
2015,399,Jamie Sterry,Newcastle United,1,4,0,0,0,,0,,0,0
2015,3,Jamie Vardy,Leicester,36,3154,24,6,22.14,-1.86,6.27,0.27,0.63,0.18
2015,266,Jan Kirchhoff,Sunderland,15,1096,0,0,0.58,0.58,0.47,0.47,0.05,0.04
2015,343,Jan Vertonghen,Tottenham,29,2596,0,0,0.58,0.58,0.35,0.35,0.02,0.01
2015,126,Jason Puncheon,Crystal Palace,31,2647,2,3,3.87,1.87,4.14,1.14,0.13,0.14
2015,452,Jay Fulton,Swansea,2,19,0,0,0,,0,,0,0
2015,423,Jay Rodriguez,Southampton,12,328,0,0,1.69,1.69,0.1,0.1,0.46,0.03
2015,373,Jefferson Montero,Swansea,23,1355,0,2,1.67,1.67,2.94,0.94,0.11,0.2
2015,229,Jeffrey Schlupp,Leicester,24,1383,1,2,1.99,0.99,2.21,0.21,0.13,0.14
2015,109,Jeremain Lens,Sunderland,20,1299,3,3,1.34,-1.66,2.98,-0.02,0.09,0.21
2015,8,Jermain Defoe,Sunderland,33,2558,15,1,11.71,-3.29,1.1,0.1,0.41,0.04
2015,81,Jesse Lingard,Manchester United,25,1641,4,1,3.29,-0.71,1.29,0.29,0.18,0.07
2015,332,Jesús Navas,Manchester City,34,2283,0,7,2.95,2.95,5.39,-1.61,0.12,0.21
2015,477,João Teixeira,Liverpool,1,2,0,0,0,,0,,0,0
2015,122,Joe Allen,Liverpool,19,720,2,1,1.38,-0.62,1.36,0.36,0.17,0.17
2015,329,Joe Hart,Manchester City,35,3112,0,0,0,,0.68,0.68,0,0.02
2015,188,Joe Ledley,Crystal Palace,19,979,1,0,0.31,-0.69,0.16,0.16,0.03,0.01
2015,100,Joel Campbell,Arsenal,19,891,3,2,2.59,-0.41,2.83,0.83,0.26,0.29
2015,321,Joel Robles,Everton,13,1170,0,0,0,,0,,0,0
2015,124,Joel Ward,Crystal Palace,30,2694,2,1,1.15,-0.85,1.8,0.8,0.04,0.06
2015,363,John Obi Mikel,Chelsea,25,1782,0,1,0.28,0.28,0.11,-0.89,0.01,0.01
2015,379,John O'Shea,Sunderland,28,2000,0,0,0.28,0.28,0.58,0.58,0.01,0.03
2015,401,John Ruddy,Norwich,27,2430,0,0,0,,0,,0,0
2015,322,John Stones,Everton,33,2781,0,0,0.42,0.42,2.04,2.04,0.01,0.07
2015,256,John Terry,Chelsea,24,1999,1,0,1.48,0.48,0.1,0.1,0.07,0
2015,212,Joleon Lescott,"Aston Villa, West Bromwich Albion",32,2812,1,0,1.87,0.87,0.17,0.17,0.06,0.01
2015,280,Jon Flanagan,Liverpool,5,422,0,1,0,,0.14,-0.86,0,0.03
2015,237,Jonas Olsson,West Bromwich Albion,28,2019,1,1,0.99,-0.01,1.05,0.05,0.04,0.05
2015,441,Jonathan Leko,West Bromwich Albion,5,272,0,1,0,,0.56,-0.44,0,0.19
2015,71,Jonathan Walters,Stoke,27,1718,5,3,5.67,0.67,2.37,-0.63,0.3,0.12
2015,542,Jonathan Williams,Crystal Palace,1,8,0,0,0,,0,,0,0
2015,232,Jonjo Shelvey,"Newcastle United, Swansea",31,2270,1,5,2.54,1.54,4.39,-0.61,0.1,0.17
2015,549,Jonjoe Kenny,Everton,1,62,0,0,0.09,0.09,0,,0.14,0
2015,239,Jonny Evans,West Bromwich Albion,30,2600,1,1,1.24,0.24,0.78,-0.22,0.04,0.03
2015,112,Jonny Howson,Norwich,36,2960,3,4,2.25,-0.75,2.89,-1.11,0.07,0.09
2015,494,Jordan Amavi,Aston Villa,10,835,0,2,0.1,0.1,0.84,-1.16,0.01,0.09
2015,35,Jordan Ayew,Aston Villa,30,2356,7,0,4.69,-2.31,1.47,1.47,0.18,0.06
2015,138,Jordan Henderson,Liverpool,17,1300,2,3,1.53,-0.47,1.3,-1.7,0.11,0.09
2015,356,Jordan Lyden,Aston Villa,4,149,0,0,0.06,0.06,0.03,0.03,0.04,0.02
2015,384,Jordan Pickford,Sunderland,2,180,0,0,0,,0,,0,0
2015,509,Jordan Rossiter,Liverpool,1,13,0,0,0,,0,,0,0
2015,358,Jordan Veretout,Aston Villa,25,1831,0,5,0.57,0.57,2.73,-2.27,0.03,0.13
2015,375,Jordi Amat,Swansea,8,451,0,0,0.64,0.64,0.07,0.07,0.13,0.01
2015,474,Jordi Gómez,Sunderland,6,363,0,0,0.05,0.05,0.08,0.08,0.01,0.02
2015,184,Jordon Ibe,Liverpool,27,1161,1,2,1.43,0.43,1.64,-0.36,0.11,0.13
2015,339,Jordon Mutch,Crystal Palace,20,784,0,0,0.93,0.93,0.48,0.48,0.11,0.06
2015,422,Jordy Clasie,Southampton,22,1574,0,0,0.49,0.49,0.76,0.76,0.03,0.04
2015,357,Jores Okore,Aston Villa,12,1080,0,0,0,,0.12,0.12,0,0.01
2015,495,José Ángel Crespo,Aston Villa,1,90,0,0,0,,0,,0,0
2015,168,José Fonte,Southampton,37,3171,2,1,2.43,0.43,1.29,0.29,0.07,0.04
2015,311,José Holebas,Watford,11,948,0,0,0.53,0.53,0.09,0.09,0.05,0.01
2015,94,Joselu,Stoke,22,1072,4,1,3.42,-0.58,0.89,-0.11,0.29,0.07
2015,513,Joseph Dodoo,Leicester,1,17,0,0,0,,0,,0,0
2015,508,Joseph Gomez,Liverpool,5,442,0,1,0.01,0.01,0.09,-0.91,0,0.02
2015,522,Josh Cullen,West Ham,1,1,0,0,0,,0,,0,0
2015,350,Josh Onomah,Tottenham,8,69,0,0,0.18,0.18,0.04,0.04,0.23,0.05
2015,40,Joshua King,Bournemouth,31,1931,6,2,5.71,-0.29,3.54,1.54,0.27,0.16
2015,317,Juan Carlos Paredes,Watford,17,758,0,0,0.12,0.12,0.53,0.53,0.01,0.06
2015,550,Juan Cuadrado,Chelsea,1,22,0,0,0.04,0.04,0,,0.16,0
2015,417,Juan Iturbe,Bournemouth,2,51,0,0,0.03,0.03,0.01,0.01,0.05,0.02
2015,43,Juan Mata,Manchester United,38,2907,6,5,6.46,0.46,5.28,0.28,0.2,0.16
2015,453,Juanmi,Southampton,12,140,0,0,0.36,0.36,0.22,0.22,0.23,0.14
2015,291,Julian Speroni,Crystal Palace,2,180,0,0,0,,0,,0,0
2015,98,Junior Stanislas,Bournemouth,21,1448,3,2,2.73,-0.27,3.78,1.78,0.17,0.24
2015,319,Jurado,Watford,27,2057,0,0,1.37,1.37,3.56,3.56,0.06,0.16
2015,400,Karl Darlow,Newcastle United,9,810,0,0,0,,0,,0,0
2015,386,Kasper Schmeichel,Leicester,38,3420,0,0,0,,0.37,0.37,0,0.01
2015,31,Kelechi Iheanacho,Manchester City,26,727,8,1,4.94,-3.06,1.59,0.59,0.61,0.2
2015,489,Kelvin Davis,Southampton,1,90,0,0,0,,0,,0,0
2015,217,Kenedy,Chelsea,14,544,1,0,0.32,-0.68,0.5,0.5,0.05,0.08
2015,33,Kevin De Bruyne,Manchester City,25,2006,7,9,4.31,-2.69,8.33,-0.67,0.19,0.37
2015,507,Kevin Mbabu,Newcastle United,3,147,0,0,0.02,0.02,0.11,0.11,0.01,0.07
2015,82,Kevin Mirallas,Everton,23,985,4,2,3.34,-0.66,1.83,-0.17,0.31,0.17
2015,527,Kevin Nolan,West Ham,2,59,0,0,0,,0,,0,0
2015,278,Kevin Stewart,Liverpool,7,562,0,0,0.13,0.13,0.1,0.1,0.02,0.02
2015,457,Kevin Toner,Aston Villa,4,313,0,1,0.05,0.05,0.05,-0.95,0.01,0.01
2015,344,Kevin Wimmer,Tottenham,10,814,0,0,0.06,0.06,0.07,0.07,0.01,0.01
2015,155,Ki Sung-yueng,Swansea,28,1852,2,1,2.46,0.46,1.08,0.08,0.12,0.05
2015,529,Kieran Dowell,Everton,2,74,0,0,0,,0.05,0.05,0,0.06
2015,193,Kieran Gibbs,Arsenal,15,367,1,0,0.56,-0.44,0.04,0.04,0.14,0.01
2015,455,Kieran Richardson,Aston Villa,11,722,0,1,0.16,0.16,0.16,-0.84,0.02,0.02
2015,210,Kieran Trippier,Tottenham,6,456,1,1,0.42,-0.58,0.48,-0.52,0.08,0.09
2015,183,Kolo Touré,Liverpool,14,865,1,0,0.24,-0.76,0.02,0.02,0.03,0
2015,376,Kristoffer Nordfeldt,Swansea,1,90,0,0,0,,0,,0,0
2015,258,Kurt Zouma,Chelsea,23,1912,1,1,1.84,0.84,0.55,-0.45,0.09,0.03
2015,497,Kyle Bartley,Swansea,5,283,0,0,0.12,0.12,0.08,0.08,0.04,0.02
2015,505,Kyle Lafferty,Norwich,1,10,0,0,0,,0,,0,0
2015,374,Kyle Naughton,Swansea,27,1750,0,3,0.27,0.27,2.02,-0.98,0.01,0.1
2015,207,Kyle Walker,Tottenham,33,2947,1,3,0.88,-0.12,4.27,1.27,0.03,0.13
2015,156,Lamine Koné,Sunderland,15,1318,2,1,2.46,0.46,0.75,-0.25,0.17,0.05
2015,78,Laurent Koscielny,Arsenal,33,2848,4,0,3.34,-0.66,0.72,0.72,0.11,0.02
2015,214,Leandro Bacuna,Aston Villa,31,2421,1,0,1.91,0.91,1.2,1.2,0.07,0.04
2015,381,Lee Cattermole,Sunderland,31,2230,0,0,0.48,0.48,1.7,1.7,0.02,0.07
2015,190,Lee Chung-yong,Crystal Palace,13,375,1,0,0.16,-0.84,0.46,0.46,0.04,0.11
2015,503,Lee Tomlin,Bournemouth,6,298,0,0,0.21,0.21,0.5,0.5,0.06,0.15
2015,134,Leighton Baines,Everton,18,1473,2,1,1.21,-0.79,1.67,0.67,0.07,0.1
2015,420,Leon Britton,Swansea,25,1532,0,0,0.1,0.1,0.1,0.1,0.01,0.01
2015,447,Leon Osman,Everton,9,206,0,0,0.14,0.14,0,,0.06,0
2015,47,Leonardo Ulloa,Leicester,29,942,6,2,6.91,0.91,1.47,-0.53,0.66,0.14
2015,372,Leroy Fer,Swansea,11,758,0,2,0.25,0.25,0.46,-1.54,0.03,0.06
2015,182,Lewis Grabban,"Bournemouth, Norwich",21,806,1,0,2.31,1.31,0.42,0.42,0.26,0.05
2015,526,Libor Kozák,Aston Villa,4,255,0,0,0.47,0.47,0.12,0.12,0.17,0.04
2015,218,Loïc Remy,Chelsea,13,269,1,0,2.08,1.08,0.16,0.16,0.7,0.05
2015,275,Lucas Leiva,Liverpool,27,1948,0,1,0.64,0.64,1.54,0.54,0.03,0.07
2015,369,Lukasz Fabianski,Swansea,37,3330,0,1,0.02,0.02,0.11,-0.89,0,0
2015,515,Luke Shaw,Manchester United,5,450,0,1,0.07,0.07,0.68,-0.32,0.01,0.14
2015,424,Maarten Stekelenburg,Southampton,17,1530,0,0,0,,0.04,0.04,0,0
2015,185,Mamadou Sakho,Liverpool,22,1856,1,0,0.83,-0.17,0.07,0.07,0.04,0
2015,72,Mame Biram Diouf,Stoke,26,1246,5,1,5.14,0.14,0.76,-0.24,0.37,0.05
2015,461,Manu García,Manchester City,1,9,0,0,0,,0,,0,0
2015,42,Manuel Lanzini,West Ham,26,1941,6,2,4.53,-1.47,2.84,0.84,0.21,0.13
2015,160,Marc Albrighton,Leicester,38,2796,2,6,2.55,0.55,8.1,2.1,0.08,0.26
2015,434,Marc Muniesa,Stoke,15,1113,0,0,0.09,0.09,0.22,0.22,0.01,0.02
2015,99,Marc Pugh,Bournemouth,26,1328,3,2,2.47,-0.53,1.2,-0.8,0.17,0.08
2015,481,Marc Wilson,Stoke,4,257,0,0,0,,0.07,0.07,0,0.02
2015,390,Marcin Wasilewski,Leicester,4,300,0,0,0.03,0.03,0,,0.01,0
2015,482,Marco van Ginkel,Stoke,17,735,0,0,1.03,1.03,0.11,0.11,0.13,0.01
2015,304,Marcos Rojo,Manchester United,16,1264,0,1,0.3,0.3,0.8,-0.2,0.02,0.06
2015,61,Marcus Rashford,Manchester United,11,870,5,2,3.03,-1.97,0.76,-1.24,0.31,0.08
2015,315,Mario Suárez,Watford,15,736,0,0,0.22,0.22,0.33,0.33,0.03,0.04
2015,359,Mark Bunn,Aston Villa,10,900,0,0,0,,0,,0,0
2015,34,Mark Noble,West Ham,37,3221,7,4,3.88,-3.12,3.24,-0.76,0.11,0.09
2015,18,Marko Arnautovic,Stoke,34,2836,11,6,12.06,1.06,6.12,0.12,0.38,0.19
2015,460,Marouane Chamakh,Crystal Palace,10,239,0,0,0.48,0.48,0.18,0.18,0.18,0.07
2015,205,Marouane Fellaini,Manchester United,18,1069,1,0,4.18,3.18,0.64,0.64,0.35,0.05
2015,333,Martín Demichelis,Manchester City,20,999,0,0,0.3,0.3,0.38,0.38,0.03,0.03
2015,293,Martin Kelly,Crystal Palace,13,1039,0,0,0.01,0.01,0.13,0.13,0,0.01
2015,235,Martin Olsson,Norwich,24,1767,1,2,0.16,-0.84,0.9,-1.1,0.01,0.05
2015,202,Martin Skrtel,Liverpool,22,1882,1,0,0.64,-0.36,0.81,0.81,0.03,0.04
2015,419,Marvin Emnes,Swansea,2,66,0,0,0.02,0.02,0,,0.03,0
2015,479,Massadio Haidara,Newcastle United,7,554,0,0,0.05,0.05,0.07,0.07,0.01,0.01
2015,499,Mathieu Debuchy,Arsenal,2,147,0,0,0.03,0.03,0.02,0.02,0.02,0.01
2015,451,Mathieu Flamini,Arsenal,16,1084,0,0,1.11,1.11,0.13,0.13,0.09,0.01
2015,535,Matt Grimes,Swansea,1,90,0,0,0.02,0.02,0.02,0.02,0.02,0.02
2015,361,Matt Miazga,Chelsea,2,138,0,0,0,,0,,0,0
2015,76,Matt Ritchie,Bournemouth,37,2985,4,6,4.23,0.23,3.58,-2.42,0.13,0.11
2015,443,Matt Targett,Southampton,14,1077,0,1,0.12,0.12,0.36,-0.64,0.01,0.03
2015,196,Matteo Darmian,Manchester United,28,1937,1,0,0.18,-0.82,1.88,1.88,0.01,0.09
2015,236,Matthew Jarvis,"Norwich, West Ham",22,1100,1,1,1.02,0.02,1.54,0.54,0.08,0.13
2015,467,Matthew Pennington,Everton,4,298,0,0,0.08,0.08,0,,0.02,0
2015,120,Mauro Zárate,West Ham,15,796,3,0,1.55,-1.45,1.34,1.34,0.18,0.15
2015,181,Max Gradel,Bournemouth,14,918,1,2,1.71,0.71,0.68,-1.32,0.17,0.07
2015,247,Maya Yoshida,Southampton,20,1000,1,0,1.05,0.05,0,,0.09,0
2015,130,Memphis Depay,Manchester United,29,1470,2,0,4.73,2.73,1.22,1.22,0.29,0.07
2015,41,Mesut Özil,Arsenal,35,3065,6,19,7.92,1.92,17.62,-1.38,0.23,0.52
2015,213,Micah Richards,Aston Villa,24,2049,1,1,1.01,0.01,0.42,-0.58,0.04,0.02
2015,346,Michael Carrick,Manchester United,28,1982,0,0,0.22,0.22,0.28,0.28,0.01,0.01
2015,29,Michail Antonio,West Ham,26,2074,8,3,5.9,-2.1,2.85,-0.15,0.26,0.12
2015,345,Michel Vorm,Tottenham,1,90,0,0,0,,0,,0,0
2015,310,Miguel Britos,Watford,24,2079,0,0,0.38,0.38,0,,0.02,0
2015,263,Miguel Layún,Watford,3,134,1,0,0.19,-0.81,0.18,0.18,0.13,0.12
2015,500,Mikel Arteta,Arsenal,9,157,0,0,0.52,0.52,0.47,0.47,0.3,0.27
2015,290,Mile Jedinak,Crystal Palace,27,1511,0,0,0.93,0.93,0.89,0.89,0.06,0.05
2015,264,Modibo Maiga,West Ham,3,18,1,0,0.24,-0.76,0,,1.19,0
2015,223,Modou Barrow,Swansea,22,762,1,2,0.46,-0.54,1.18,-0.82,0.05,0.14
2015,283,Mohamed Elneny,Arsenal,11,799,0,1,1.33,1.33,0.3,-0.7,0.15,0.03
2015,195,Morgan Schneiderlin,Manchester United,29,2204,1,0,0.83,-0.17,0.41,0.41,0.03,0.02
2015,103,Mousa Dembélé,Tottenham,29,2286,3,1,1.48,-1.52,0.83,-0.17,0.06,0.03
2015,233,Moussa Sissoko,Newcastle United,37,3234,1,7,3.31,2.31,5.96,-1.04,0.09,0.17
2015,462,Muhamed Besic,Everton,12,547,0,0,0.1,0.1,0.44,0.44,0.02,0.07
2015,465,Nabil Bentaleb,Tottenham,5,165,0,0,0.1,0.1,0.03,0.03,0.06,0.02
2015,105,Nacer Chadli,Tottenham,29,922,3,2,2.93,-0.07,2.76,0.76,0.29,0.27
2015,282,Nacho Monreal,Arsenal,37,3247,0,3,0.91,0.91,2.91,-0.09,0.03,0.08
2015,197,Nathan Aké,Watford,24,1868,1,0,1.61,0.61,0.7,0.7,0.08,0.03
2015,234,Nathan Dyer,"Leicester, Swansea",13,209,1,1,0.26,-0.74,0.57,-0.43,0.11,0.25
2015,49,Nathan Redmond,Norwich,35,2321,6,3,3.43,-2.57,3.64,0.64,0.13,0.14
2015,200,Nathaniel Clyne,Liverpool,33,2970,1,0,1.82,0.82,1.84,1.84,0.06,0.06
2015,371,Neil Taylor,Swansea,34,2951,0,1,0.22,0.22,1.04,0.04,0.01,0.03
2015,150,Nemanja Matic,Chelsea,33,2426,2,2,2.51,0.51,2.06,0.06,0.09,0.08
2015,228,N'Golo Kanté,Leicester,37,3011,1,4,0.56,-0.44,2.73,-1.27,0.02,0.08
2015,545,Nick Powell,Manchester United,1,14,0,0,0,,0,,0,0
2015,204,Nicolás Otamendi,Manchester City,30,2673,1,0,0.99,-0.01,0.63,0.63,0.03,0.02
2015,259,Nikica Jelavic,West Ham,13,318,1,2,1.49,0.49,1.01,-0.99,0.42,0.28
2015,314,Nordin Amrabat,Watford,12,494,0,0,0.74,0.74,0.58,0.58,0.14,0.11
2015,309,Nyom,Watford,32,2483,0,1,0.32,0.32,0.58,-0.42,0.01,0.02
2015,454,Obbi Oularé,Watford,2,2,0,0,0,,0,,0,0
2015,7,Odion Ighalo,Watford,37,3160,15,3,16.09,1.09,2.23,-0.77,0.46,0.06
2015,382,Ola Toivonen,Sunderland,12,668,0,2,0.82,0.82,1.02,-0.98,0.11,0.14
